"g","network","site","mean_final_mut_mat","mutualism","m_A","m_B","alpha","phi","theta_A","theta_B"
0.05,"FA_Ricciardi_etal_2010_Likuan1_bin","A",0.862896397265617,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FA_Ricciardi_etal_2010_Likuan1_bin","B",0.859719611177112,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FA_Ricciardi_etal_2010_Mandolin_bin","A",0.885509728983183,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FA_Ricciardi_etal_2010_Mandolin_bin","B",0.883280332746878,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FA_Ricciardi_etal_2010_TanjungKopi_bin","A",0.842189234446962,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FA_Ricciardi_etal_2010_TanjungKopi_bin","B",0.85205414878089,"FA",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FP_Baird_1980_bin","A",0.814325017104018,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FP_Baird_1980_bin","B",0.818765786792576,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FP_Beehler_1983_bin","A",0.810093147460498,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FP_Beehler_1983_bin","B",0.813884960703301,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FP_Carlo_etal_2003_Caguana_bin","A",0.814159721742842,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FP_Carlo_etal_2003_Caguana_bin","B",0.823449090087035,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FP_Carlo_etal_2003_Fronton_bin","A",0.822712774017424,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FP_Carlo_etal_2003_Fronton_bin","B",0.816328710376114,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FP_Galetti&Pizo_1996_bin","A",0.807999794579107,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FP_Galetti&Pizo_1996_bin","B",0.813695320388346,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FP_Jordano_1985_bin","A",0.809886610945242,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FP_Jordano_1985_bin","B",0.807542128485255,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FP_Mack&Wright_1996_bin","A",0.831256288326593,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FP_Mack&Wright_1996_bin","B",0.837411213814378,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FP_Sorensen_1981_bin","A",0.804616627419657,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"FP_Sorensen_1981_bin","B",0.811526734789301,"FP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Arroyo_etal_1982_1_bin","A",0.807244663786579,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Arroyo_etal_1982_1_bin","B",0.808534851133141,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Barrett&Helenurm_1987_bin","A",0.820838720151658,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Barrett&Helenurm_1987_bin","B",0.824559081201624,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Dicks_etal_2002_SH_bin","A",0.823288460452596,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Dicks_etal_2002_SH_bin","B",0.821714086378175,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Elberling&Olesen_1999_bin","A",0.819048579202023,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Elberling&Olesen_1999_bin","B",0.813292015370763,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Hocking_1968_bin","A",0.820134259746393,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Hocking_1968_bin","B",0.812355815419282,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Kaiser-Bunbury_etal_2009_bin","A",0.804957667266513,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Kaiser-Bunbury_etal_2009_bin","B",0.801560363175563,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Medan_etal_2002_RB_bin","A",0.825841178634044,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Medan_etal_2002_RB_bin","B",0.818091729170073,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Ollerton_etal_2003_bin","A",0.820473718875772,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Ollerton_etal_2003_bin","B",0.822704105186872,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Ramirez&Brito_1992_bin","A",0.819642604188034,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Ramirez&Brito_1992_bin","B",0.822440456334955,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Santos_etal_2010_bin","A",0.806856942309296,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Santos_etal_2010_bin","B",0.805259502789592,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Vazquez_etal_2002_ArroyoGoye_bin","A",0.834016085882083,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Vazquez_etal_2002_ArroyoGoye_bin","B",0.832445318126825,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
0.05,"PP_Vazquez_etal_2002_CerroLopez_bin","A",0.832101600275947,"PP",0.7,0.7,0.05,0.5,"0-10","10-20"
